Age,Salary,Experience,Gender,Department,PerformanceScore
22,25000,0,Male,IT,65
25,32000,2,Female,HR,70
28,45000,4,Male,IT,78
30,50000,6,Female,Finance,82
35,65000,10,Male,Finance,88
40,80000,15,Male,Management,90
27,38000,3,Female,HR,72
29,42000,5,Male,IT,76
33,58000,8,Female,Finance,85
45,90000,20,Male,Management,92
26,34000,2,Female,IT,69
31,52000,7,Male,HR,80
38,72000,12,Female,Finance,87
42,85000,18,Male,Management,91
24,28000,1,Female,HR,68
36,67000,11,Male,IT,86
39,75000,14,Female,Finance,89
34,60000,9,Male,HR,83
28,41000,4,Female,IT,75
41,82000,17,Male,Management,90
